COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;COORD_GIS_X;COORD_GIS_Y;SISTEMA_COORD;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;CONTRATO_COD
133;PALOMERAS BAJAS;13;PUENTE DE VALLECAS;444029,144;4471341,061;ETRS89;40,39078808;-3,65947829;CALLE;ARROYO DEL OLIVAR;15;28053;PAYASO FOFO;11095427;AE21
133;PALOMERAS BAJAS;13;PUENTE DE VALLECAS;444069,545;4469888,385;ETRS89;40,37770421;-3,65887477;CALLE;PUERTO DE BALBARAN;39;28018;AHIJONES;11093744;AE21
165;APOSTOL SANTIAGO;16;HORTALEZA;443984,471;4480994,008;ETRS89;40,47774389;-3,66085543;CALLE;VELEZ RUBIO;41;28033;PARQUE DE MANOTERAS;11121907;AE21
205;ROSAS;20;SAN BLAS - CANILLEJAS;448252,724;4474592,226;ETRS89;40,4203498;-3,60998096;CALLE;MARSELLA;29;28022;PARQUE DE LAS ROSAS;20126474;AE21
126;ZOFIO;12;USERA;439579,036;4470630,531;ETRS89;40,38407636;-3,71184073;AVENIDA;RAFAELA YBARRA;23;28026;PARQUE OLOF PALME;11086744;AE21
151;VENTAS;15;CIUDAD LINEAL;444293,016;4474724,407;ETRS89;40,4212849;-3,65666555;AVENIDA;MARQUES DE CORBERA;4;28017;FELIX RODRIGUEZ DE LA FUENTE;20167853;AE21
183;ENSANCHE DE VALLECAS;18;VILLA DE VALLECAS;447638,516;4468990,407;ETRS89;40,36984648;-3,61676002;AVENIDA;VILLA DE VALLECAS;21;28031;C/ TORRE DE JUAN ABAD;31001910;AE21
214;TIMON;21;BARAJAS;449509,544;4480566,551;ETRS89;40,47424742;-3,59564167;CALLE;PLAYA DE BARLOVENTO;12;28042;C/ARROYO DE LA TIA MARTINA CV C/SIMUN;31033337;AE21
125;MOSCARDO;12;USERA;439634,073;4471201,732;ETRS89;40,38922602;-3,71124649;CALLE;GENERAL MARVA;53;28026;CALLE DE GOYENECHE;11084410;AE21
117;ABRANTES;11;CARABANCHEL;438720,751;4469762,042;ETRS89;40,3761899;-3,72186822;CALLE;VIA LUSITANA;3;28025;PARQUE EMPERATRIZ MARIA DE AUSTRIA;31035183;AE21
117;ABRANTES;11;CARABANCHEL;438674,725;4470240,541;ETRS89;40,38049707;-3,72245641;CALLE;VIA LUSITANA;3;28025;PARQUE EMPERATRIZ MARIA DE AUSTRIA;31035183;AE21
166;VALDEFUENTES;16;HORTALEZA;445270,545;4482139,74;ETRS89;40,48815094;-3,64578252;AVENIDA;NICETO ALCALA ZAMORA;3;28050;CALLE ALBERTO DE PALACIOS;31011039;AE21
125;MOSCARDO;12;USERA;440197,879;4471385,439;ETRS89;40,39092161;-3,70462132;CALLE;VALLANDES;2;28026;DE LAS CALESAS;20002230;AE21
171;VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE;17;VILLAVERDE;440538,549;4465150,182;ETRS89;40,3347753;-3,70002634;CALLE;TRANSVERSAL SEXTA;10B;28021;;20127343;AE21
146;VINATEROS;14;MORATALAZ;446073,31;4472649,898;ETRS89;40,40271375;-3,63550512;Calle;Luis de Hoyos Sainz;108;28030;;11102891;AE21
122;ORCASUR;12;USERA;440743,909;4468957,903;ETRS89;40,36909208;-3,69796242;CALLE;MARACENA;2;28041;;11081218;AE21
183;ENSANCHE DE VALLECAS;18;VILLA DE VALLECAS;448504,215;4468886,401;ETRS89;40,36896345;-3,6065552;CALLE;ENTREPEÑAS;43;28051;;31033787;AE21
136;NUMANCIA;13;PUENTE DE VALLECAS;444420,92;4471998,38;ETRS89;40,39673583;-3,65491983;CALLE;BENJAMIN PALENCIA;2;28038;;20002299;AE21
133;PALOMERAS BAJAS;13;PUENTE DE VALLECAS;444449,134;4471339,467;ETRS89;40,39080183;-3,65452991;CALLE;ESCRITOR;3;28038;;20003182;AE21
97;ARAVACA;9;MONCLOA - ARAVACA;434194,549;4478364,537;ETRS89;40,45333891;-3,77607217;CALLE;VIRGEN DE LOS ROSALES;42;28023;CALLE VIRGEN DE LOS ROSALES, 42;20125594;AE21
116;BUENAVISTA;11;CARABANCHEL;435789,964;4469767,606;ETRS89;40,37601938;-3,7563906;CAMINO;CRUCES;4;28044;;20078470;AE21
107;AGUILAS;10;LATINA;434995,623;4470782,914;ETRS89;40,3851041;-3,76585067;CALLE;NAVIA;21;28044;;20137009;AE21
44;GUINDALERA;4;SALAMANCA;443204,759;4475739,382;ETRS89;40,43035475;-3,6695836;CALLE;FLORESTAN AGUILAR;2;28028;PARRQUE EVA DUARTE DE PERON;11017052;AE21
24;LEGAZPI;2;ARGANZUELA;441979,994;4470934,495;ETRS89;40,3869853;-3,68358383;PARQUE;ENRIQUE TIERNO GALVAN;;;;;AE21
175;ANGELES;17;VILLAVERDE;441038,68;4466854,979;ETRS89;40,35016863;-3,69429626;CALLE;ALCOCER;1;28021;ALCOCER 1;11128272;AE21
116;BUENAVISTA;11;CARABANCHEL;436062,178;4469289,253;ETRS89;40,37173109;-3,75313622;CALLE;GUITARRA;9;28044;;11077474;AE21
171;VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE;17;VILLAVERDE;440222,259;4465963,274;ETRS89;40,34207752;-3,7038258;CALLE;LENGUAS;6G;28021;;31019468;AE21
125;MOSCARDO;12;USERA;440081,976;4471581,671;ETRS89;40,39268104;-3,70600531;PASEO;SANTA MARIA DE LA CABEZA;93;28026;;31027444;AE21
116;BUENAVISTA;11;CARABANCHEL;437232,446;4469088,113;ETRS89;40,37000807;-3,7393327;AVENIDA;EURO;16;28054;;31031211;AE21
136;NUMANCIA;13;PUENTE DE VALLECAS;444908,618;4472281,353;ETRS89;40,39931743;-3,64919785;AUTOVIA;A-3;500SA;28038;;31031227;AE21
86;VALVERDE;8;FUENCARRAL - EL PARDO;442972,168;4484591,09;ETRS89;40,51007898;-3,67312126;CALLE;FROMISTA;15 A;28050;;31012691;AE21
183;ENSANCHE DE VALLECAS;18;VILLA DE VALLECAS;446458,151;4469611,19;ETRS89;40,37536393;-3,63071476;CALLE;TINEO;13;28031;;31016534;AE21
95;VALDEMARIN;9;MONCLOA - ARAVACA;433250,01;4479877,533;ETRS89;40,46689301;-3,78736965;AVENIDA;VALDEMARIN;109;28023;;20166358;AE21
127;PRADOLONGO;12;USERA;440520,941;4470048,468;ETRS89;40,3789006;-3,70069028;CALLE;TOMELLOSO;63;28026;;11082377;AE21
33;ESTRELLA;3;RETIRO;443925,036;4474193,601;ETRS89;40,41647839;-3,66095617;;;;;PARQUE ROMA;;AE21
54;HISPANOAMERICA;5;CHAMARTIN;442936,425;4478574,203;ETRS89;40,45587384;-3,67300155;CALLE;URUGUAY;23;28016;;11025164;AE21
107;AGUILAS;10;LATINA;434518,081;4469811,049;ETRS89;40,37631177;-3,7713765;CALLE;SOLEDAD CAZORLA;20;28044;;20020646;AE21
116;BUENAVISTA;11;CARABANCHEL;435784,086;4468490,011;ETRS89;40,36450979;-3,75633116;CALLE;MORALES;13;28054;SALVADOR ALLENDE;31001529;AE21
75;RIOS ROSAS;7;CHAMBERI;440903,135;4477517,686;ETRS89;40,44621418;-3,69688197;CALLE;RAIMUNDO FERNANDEZ VILLAVERDE;50;28003;;11042234;AE21
183;ENSANCHE DE VALLECAS;18;VILLA DE VALLECAS;448486,224;4469753,096;ETRS89;40,37677015;-3,60683713;CALLE;MAZATERON;12;28051;REAL DE ARGANDA;31063532;AE21
171;VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE;17;VILLAVERDE;440106,817;4466195,097;ETRS89;40,34415764;-3,70520667;CALLE;AMADEO FERNANDEZ;11;28021;JARDIN DE LA LUZ;11125656;AE21
183;ENSANCHE DE VALLECAS;18;VILLA DE VALLECAS;448543,704;4468324,954;ETRS89;40,36390797;-3,60604479;CALLE;JOSE GUTIERREZ MAROTO;39;28051;CERRO MILANO;31019548;AE21
208;EL SALVADOR;20;SAN BLAS - CANILLEJAS;447101,547;4477196,931;ETRS89;40,44374215;-3,6237667;PLAZA;ENSIDESA;1;28027;PLAZA ENSIDESA;20158323;AE21
